0,351654869
1,350944575
2,350235282
3,349526990
4,348819699
5,348113409
6,347408120
7,346703832
8,346000545
9,345298259
10,344596974
11,343896690
12,343197407
13,342499125
14,341801844
15,341105564
16,340410285
17,339716007
18,339022730
19,338330454
20,337639179
21,336948905
22,336259632
23,335571360
24,334884089
26,333512549
28,332145011
29,331462743
30,330781476
32,329421944
34,328066414
35,327390150
36,326714887
37,326040625
38,325367364
39,324695104
40,324023845
41,323353587
42,322684330
43,322016074
44,321348819
45,320682565
46,320017312
48,318689808
49,318027557
50,317366307
51,316706058
53,315388562
54,314731315
55,314075069
57,312765579
58,312112335
59,311460092
60,310808850
61,310158609
62,309509369
63,308861130
65,307567654
66,306922417
67,306278181
68,305634946
69,304992712
70,304351479
72,303072015
73,302433784
74,301796554
75,301160325
76,300525097
77,299890870
78,299257644
79,298625419
80,297994195
82,296734749
85,294853083
86,294227862
88,292980422
89,292358203
90,291736985
91,291116768
93,289879336
94,289262121
95,288645907
96,288030694
97,287416482
98,286803271
99,286191061
100,285579852
101,284969644
102,284360437
103,283752231
104,283145026
105,282538822
106,281933619
107,281329417
109,280124015
110,279522815
111,278922616
112,278323418
113,277725221
114,277128025
115,276531830
116,275936636
117,275342443
120,273565867
121,272975676
125,270624916
127,269455538
129,268290162
130,267708975
131,267128789
132,266549604
133,265971420
135,264818054
136,264242872
137,263668691
140,261952151
141,261381972
142,260812794
143,260244617
147,257981913
148,257418738
151,255735216
153,254617870
154,254060698
155,253504527
156,252949357
159,251289850
160,250738682
161,250188515
162,249639349
164,248544019
165,247997855
166,247452692
167,246908530
168,246365369
169,245823209
172,244202732
173,243664574
174,243127417
176,242056105
177,241521950
178,240988796
179,240456643
183,238338035
184,237810884
185,237284734
186,236759585
187,236235437
189,235190143
191,234148851
192,233629706
194,232594418
195,232078275
196,231563133
197,231048992
198,230535852
199,230023713
200,229512575
201,229002438
204,227478030
206,226466760
207,225962626
208,225459493
209,224957361
210,224456230
211,223956100
214,222461713
217,220976329
219,219991075
221,219009823
222,218520698
224,217545450
228,215606958
229,215124836
231,214163594
232,213684474
233,213206355
234,212729237
235,212253120
237,211303888
238,210830773
239,210358659
241,209417433
242,208948321
243,208480210
244,208013100
248,206154664
249,205692556
250,205231449
251,204771343
253,203854133
254,203397029
257,202031720
259,201126516
261,200225314
262,199776214
263,199328115
264,198881017
266,197989823
268,197102631
269,196660536
270,196219442
272,195340256
274,194465072
275,194028981
276,193593891
277,193159802
278,192726714
279,192294627
280,191863541
283,190576286
284,190149202
286,189298036
287,188873954
289,188028792
290,187607712
291,187187633
293,186350477
294,185933400
295,185517324
297,184688174
299,183863026
300,183451953
302,182632809
304,181817667
305,181411597
306,181006528
307,180602460
311,178996192
315,177405928
316,177010863
319,175831671
320,175440608
321,175050546
322,174661485
323,174273425
324,173886366
325,173500308
327,172731194
328,172348138
330,171585028
332,170825920
335,169694761
337,168945657
339,168200555
340,167829505
343,166722358
345,165989262
348,164897121
351,163813983
353,163096893
354,162739849
356,162028763
359,160969637
360,160618596
362,159919516
364,159224438
366,158533362
